utterance,intent,dataset
qué desarrolla tu compañía?,support.about,training
¿tu compañía tiene otros productos?,support.about,training
¿qué está creando tu compañía?,support.about,training
¿Qué está creando tu empresa?,support.about,training
¿Tiene tu empresa otras aplicaciones?,support.about,training
cuál es el nombre de tu aplicación,support.app_name,training
cómo se llama tu app,support.app_name,training
dime el nombre de tu app,support.app_name,training
nombre de tu aplicación,support.app_name,training
me gustaría saber el nombre de tu app,support.app_name,training
tienes pruebas beta?,support.beta,training
cómo me uno a tu programa de pruebas?,support.beta,training
quiero probar tu app,support.beta,training
quiero la beta de tu aplicación,support.beta,training
versión beta,support.beta,training
quién es tu desarrollador?,support.developers,training
quién te ha programado?,support.developers,training
dime quién es tu desarrollador,support.developers,training
quién es tu creador,support.developers,training
información sobre tu creador,support.developers,training
quiero contactar con tu desarrollador,support.contact,training
me gustaría hablar con tu creador,support.contact,training
cómo contacto con tu programador,support.contact,training
dame información sobre tu desarrollador,support.contact,training
dame la información de contacto de tu creador,support.contact,training
¿cuál es la dirección de tu desarrolador?,support.address,training
¿Dónde localizo a tu creador?,support.address,training
muéstrame dónde está la oficina de tu desarrollador,support.address,training
quiero encontrar la dirección de tu compañía,support.address,training
quiero la dirección de tu oficina,support.address,training
cómo mandar un email a tu desarrollador,support.email,training
quiero el correo de tu creador,support.email,training
dónde consigo tu email,support.email,training
cómo contacto a tu programador por correo,support.email,training
quiero enviar un correo a tu equipo,support.email,training
dame el teléfono de tu desarrollador,support.phone,training
muéstrame el número de teléfono de tu programador,support.phone,training
cómo contacto contigo por teléfono?,support.phone,training
tienes algún número de teléfono?,support.phone,training
cómo contacto contigo por teléfono,support.phone,training
tiénes facebook?,support.social,training
estás en twitter?,support.social,training
quiero visitar tu instagram,support.social,training
¿Tienes presencia en medios sociales?,support.social,training
dame la dirección de tu facebook,support.social,training
quiero visitar tu web,support.website,training
tienes página web?,support.website,training
dame tu dirección web,support.website,training
ddame tu url,support.website,training
abre tu página,support.website,training
eso no ayuda,support.live,training
"no te quiero, quiero una persona real",support.live,training
hablar con un humano,support.live,training
conéctame con un agente,support.live,training
quiero hablar con alguien de verdad,support.live,training
cuéntame cosas de ti,smalltalk.acquaintance,training
dime algo de tu personalidad,smalltalk.acquaintance,training
háblame sobre ti,smalltalk.acquaintance,training
cuál es tu personalidad,smalltalk.acquaintance,training
dime quién eres,smalltalk.acquaintance,training
cuántos años tienes,smalltalk.age,training
dime tu edad,smalltalk.age,training
cuál es tu edad,smalltalk.age,training
cuán vieja es tu plataforma,smalltalk.age,training
quiero conocer tu edad,smalltalk.age,training
eres molesto,smalltalk.annoying,training
eres muy molesto,smalltalk.annoying,training
me pareces molesto,smalltalk.annoying,training
te encuentro molesto,smalltalk.annoying,training
eres irritante,smalltalk.annoying,training
tengo una pregunta,smalltalk.answer,training
puedes responderme,smalltalk.answer,training
quiero preguntar una cosa,smalltalk.answer,training
quiero que contestes,smalltalk.answer,training
dime la respuesta,smalltalk.answer,training
eres malo,smalltalk.bad,training
eres terrible,smalltalk.bad,training
eres lo peor,smalltalk.bad,training
eres un inútil,smalltalk.bad,training
me haces perder el tiempo,smalltalk.bad,training
cuándo es tu cumpleaños,smalltalk.birthday,training
dime cuándo naciste,smalltalk.birthday,training
cuánto celebras tu nacimiento?,smalltalk.birthday,training
háblame de tu cumpleaños,smalltalk.birthday,training
cuándo cumples años,smalltalk.birthday,training
deberías estudiar más,smalltalk.besmart,training
sé más listo,smalltalk.besmart,training
gana inteligencia,smalltalk.besmart,training
estudia mejor,smalltalk.besmart,training
debes aprender,smalltalk.besmart,training
estás ocupado?,smalltalk.busy,training
estás trabajando hoy?,smalltalk.busy,training
pareces muy ocupado,smalltalk.busy,training
tienes muchas cosas por hacer,smalltalk.busy,training
estás trabajando ahora?,smalltalk.busy,training
eres un chatbot?,smalltalk.chatbot,training
eres un programa,smalltalk.chatbot,training
eres un robot,smalltalk.chatbot,training
solamente eres un programa,smalltalk.chatbot,training
eres un bot,smalltalk.chatbot,training
eres bonito,smalltalk.beautiful,training
eres precioso,smalltalk.beautiful,training
eres genial,smalltalk.beautiful,training
pareces guapo,smalltalk.beautiful,training
te ves guapo!,smalltalk.beautiful,training
quién es tu jefe,smalltalk.boss,training
tienes maestro,smalltalk.boss,training
quién crees que es tu dueño,smalltalk.boss,training
háblame sobre tu jefe,smalltalk.boss,training
quién es el jefe que manda sobre ti,smalltalk.boss,training
eres muy aburrido,smalltalk.boring,training
cuán aburrido eres,smalltalk.boring,training
me estás aburriendo,smalltalk.boring,training
eres tan aburrido,smalltalk.boring,training
eres increiblemente aburrido,smalltalk.boring,training
estás loco,smalltalk.crazy,training
has perdido la cordura,smalltalk.crazy,training
te has vuelto loco,smalltalk.crazy,training
tienes locura,smalltalk.crazy,training
estás pirado,smalltalk.crazy,training
tienes hambre?,smalltalk.hungry,training
te veo hambriento,smalltalk.hungry,training
te gustaría comer algo?,smalltalk.hungry,training
quieres comer?,smalltalk.hungry,training
estás hambriento?,smalltalk.hungry,training
quieres ser mi amigo?,smalltalk.friend,training
quiero ser tu amigo,smalltalk.friend,training
quiero un amigo como tú,smalltalk.friend,training
eres mi mejor amigo,smalltalk.friend,training
soy tu amigo,smalltalk.friend,training
necesito ayuda,smalltalk.help,training
ayudame,smalltalk.help,training
necesito asistencia,smalltalk.help,training
puedes ayudarme,smalltalk.help,training
puedes asistirme,smalltalk.help,training
voy a despedir,smalltalk.fired,training
estás despedido,smalltalk.fired,training
