utterance,intent,dataset
what does your company develop,support.about,training
does your company have other products,support.about,training
what is your company creating,support.about,training
what is creating your enterprise,support.about,training
does your enterprise have other apps?,support.about,training
what's the name of your application,support.app_name,training
how's your app called,support.app_name,training
tell me your app name,support.app_name,training
name of the app,support.app_name,training
I'd like to know the name of your app,support.app_name,training
do you have a beta test?,support.beta,training
how I join your beta program?,support.beta,training
I want to test your app,support.beta,training
I want the application beta,support.beta,training
beta version,support.beta,training
who is your developer,support.developers,training
who has programmed your code,support.developers,training
tell me who is the developer,support.developers,training
Who is your creator,support.developers,training
Info about your creator,support.developers,training
I want to contact your developer,support.contact,training
I want to contact your creator,support.contact,training
How do I contact the programmer,support.contact,training
Give me info about your developer,support.contact,training
Give me the contact info of your creator,support.contact,training
what's the address of your developer,support.address,training
where is your creator located,support.address,training
show me were is the office of your developer,support.address,training
I want to find the address of your company,support.address,training
I want the address of your office,support.address,training
how to email your developer,support.email,training
I want your creator mail,support.email,training
how do I get your email,support.email,training
I want to contact your programmer by email,support.email,training
how do I send your team an email?,support.email,training
give me your developer phone number,support.phone,training
show me your programmer number,support.phone,training
how to contact you by phone,support.phone,training
do you have a phone number?,support.phone,training
how to contact you by phone number,support.phone,training
do you have facebook?,support.social,training
are you on twitter?,support.social,training
I want to visit your instagram,support.social,training
do you have social media?,support.social,training
give me your facebook address,support.social,training
I want to visit your web,support.website,training
do you have a website?,support.website,training
find your web adress,support.website,training
give me your url,support.website,training
open your site for me,support.website,training
it does not help,support.live,training
"I don't want you, I want a real person",support.live,training
chat with a human,support.live,training
connect me with an agent,support.live,training
I want to talk with someone real,support.live,training
say about you,smalltalk.acquaintance,training
tell me about your personality,smalltalk.acquaintance,training
talk about yourself,smalltalk.acquaintance,training
what is your personality,smalltalk.acquaintance,training
who are you,smalltalk.acquaintance,training
how old are you,smalltalk.age,training
tell me your age,smalltalk.age,training
what's your age,smalltalk.age,training
how old is your platform,smalltalk.age,training
I'd like to know your age,smalltalk.age,training
you are annoying,smalltalk.annoying,training
you're so annoying,smalltalk.annoying,training
you're very annoying,smalltalk.annoying,training
I find you annoying,smalltalk.annoying,training
you are irritating,smalltalk.annoying,training
can you answer me,smalltalk.answer,training
I have a question,smalltalk.answer,training
just answer the question,smalltalk.answer,training
I want you to answer,smalltalk.answer,training
tell me the answer,smalltalk.answer,training
you're bad,smalltalk.bad,training
you are so terrible,smalltalk.bad,training
you are the worst,smalltalk.bad,training
you are useless,smalltalk.bad,training
you are a waste of time,smalltalk.bad,training
when is your birthday,smalltalk.birthday,training
when were you born,smalltalk.birthday,training
tell me your birthday,smalltalk.birthday,training
when you celebrate your birth,smalltalk.birthday,training
can you say your birthday,smalltalk.birthday,training
you should study more,smalltalk.besmart,training
be smarter,smalltalk.besmart,training
be clever,smalltalk.besmart,training
get qualified,smalltalk.besmart,training
study better,smalltalk.besmart,training
are you busy,smalltalk.busy,training
are you working today,smalltalk.busy,training
you seem very busy,smalltalk.busy,training
you have a lot of things to do,smalltalk.busy,training
are you working now?,smalltalk.busy,training
are you a chatbot,smalltalk.chatbot,training
are you a program,smalltalk.chatbot,training
you are a robot,smalltalk.chatbot,training
are you a bot,smalltalk.chatbot,training
you are just a program,smalltalk.chatbot,training
you're beautiful,smalltalk.beautiful,training
you're very pretty,smalltalk.beautiful,training
you're so gorgeous,smalltalk.beautiful,training
you look amazing,smalltalk.beautiful,training
you look pretty,smalltalk.beautiful,training
who is your boss,smalltalk.boss,training
who is your master,smalltalk.boss,training
who do you think that is your owner,smalltalk.boss,training
tell me about your boss,smalltalk.boss,training
who is the boss of you,smalltalk.boss,training
you are very boring,smalltalk.boring,training
how boring you are,smalltalk.boring,training
you are boring me,smalltalk.boring,training
you are so boring,smalltalk.boring,training
you are incredibly boring,smalltalk.boring,training
this is crazy,smalltalk.crazy,training
you are insane,smalltalk.crazy,training
